id,name,brand,category,subcategory,description,detailed_description,key_benefits,ingredients,serving_size,servings_per_container,directions_for_use,warnings,price,compare_at_price,currency,stock_quantity,is_available,is_featured,is_bestseller,image_url,nutrition_facts,certifications,target_audience,health_conditions,allergen_info,manufacturer,country_of_origin,expiry_date,barcode,sku,weight_grams,tags,seo_title,seo_description,price_aed,barcode sku
d8d78df2-9533-4773-bc5e-447d067beb9a,Creatine Monohydrate,Biowell,Muscle Building,,"Increases intramuscular phosphocreatine for rapid ATP regeneration,","Increases intramuscular phosphocreatine for rapid ATP regeneration,",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Creatine Monohydrate,"Increases intramuscular phosphocreatine for rapid ATP regeneration,",85.0,
cba68a6a-4f83-47e8-b602-681bb5c18f9c,Whey Protein (or Equivalent Protein Supplements),Biowell,Muscle Building,,Provides essential amino acids (especially,Provides essential amino acids (especially,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Whey Protein (or Equivalent Protein Supplements),Provides essential amino acids (especially,180.0,
6fb63925-366e-477c-a323-b0aed2b1981b,β-Alanine,Biowell,Muscle Building,,"Buffers intramuscular acidity by raising carnosine levels, delaying fatigue in high-","Buffers intramuscular acidity by raising carnosine levels, delaying fatigue in high-",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,β-Alanine,"Buffers intramuscular acidity by raising carnosine levels, delaying fatigue in high-",95.0,
bb65adee-fdb7-4347-9eee-c98ae050fb16,Branched-Chain Amino Acids (BCAAs),Biowell,Muscle Building,,"Leucine-rich BCAAs can stimulate muscle protein synthesis,","Leucine-rich BCAAs can stimulate muscle protein synthesis,",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Branched-Chain Amino Acids (BCAAs),"Leucine-rich BCAAs can stimulate muscle protein synthesis,",120.0,
b64d0a7c-53bc-4286-9a8d-369806e9c934,but Note,Biowell,Muscle Building,,"when overall protein intake is adequate, extra BCAAs add little benefit. Whole protein or","when overall protein intake is adequate, extra BCAAs add little benefit. Whole protein or",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,but Note,"when overall protein intake is adequate, extra BCAAs add little benefit. Whole protein or",0.0,
3ce7e8c6-849a-4101-97ac-590e19907a14,Omega-3 Fish Oil,Biowell,Muscle Building,,"Rich in EPA/DHA, which have anti-inflammatory effects. Omega-3s may reduce","Rich in EPA/DHA, which have anti-inflammatory effects. Omega-3s may reduce",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Omega-3 Fish Oil,"Rich in EPA/DHA, which have anti-inflammatory effects. Omega-3s may reduce",0.0,
63337363-0151-4016-a245-27fb413aa2ff,HMB (β-Hydroxy β-Methylbutyrate),Biowell,Muscle Building,,A leucine metabolite purported to reduce muscle breakdown.,A leucine metabolite purported to reduce muscle breakdown.,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,HMB (β-Hydroxy β-Methylbutyrate),A leucine metabolite purported to reduce muscle breakdown.,0.0,
c3f55641-bf95-4526-8f37-78a51a4a32b8,Beetroot Nitrate (Nitric Oxide Booster),Biowell,Endurance,,Beetroot juice or concentrated nitrate increases nitric,Beetroot juice or concentrated nitrate increases nitric,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Beetroot Nitrate (Nitric Oxide Booster),Beetroot juice or concentrated nitrate increases nitric,0.0,
4c7cca02-2629-4db5-a03b-d6ad7a564128,Caffeine,Biowell,Endurance,,"A well-established ergogenic aid that stimulates the central nervous system, reduces","A well-established ergogenic aid that stimulates the central nervous system, reduces",General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,Caffeine,"A well-established ergogenic aid that stimulates the central nervous system, reduces",0.0,
1ede43cd-257b-413f-8e30-0f40499de406,β-Alanine,Biowell,Endurance,,Improves high-intensity endurance by buffering lactic acid via elevated carnosine.,Improves high-intensity endurance by buffering lactic acid via elevated carnosine.,General Health Benefit,,,30.0,,,0.0,0.0,USD,100.0,True,False,False,,{},,,,,,,,,,0.0,,β-Alanine,Improves high-intensity endurance by buffering lactic acid via elevated carnosine.,95.0,
